amount,type_encoded,location_encoded,time_encoded,channel_encoded,balance_before,balance_after,is_weekend,client_age_group,is_fraud
10778769,0,4,9,1,14718442,3939673,0,0,0
59884896,1,3,21,1,11102460,70987356,0,1,1
23379508,0,4,17,1,37542710,14163202,1,2,0
56997635,1,0,19,1,72710599,129708234,0,1,1
23065262,1,2,14,0,70037897,93103159,0,1,1
20044418,0,2,21,1,66964478,46920060,1,2,1
56823799,0,5,15,0,14632176,-42191623,1,0,1
34364014,0,0,9,1,56613424,22249410,0,1,0
21970865,0,4,23,0,68199571,46228706,1,1,1
42126972,0,4,23,0,73256257,31129285,0,0,1
27931942,0,4,2,0,69789973,41858031,1,1,0
5038654,0,5,6,0,18208175,13169521,1,2,0
2748304,0,5,19,1,45714853,42966549,1,0,1
41367127,0,3,16,1,16850255,-24516872,0,1,0
25855740,1,4,8,1,66610620,92466360,0,0,1
7661826,1,3,22,1,88922321,96584147,1,1,1
23133735,1,0,20,1,75365273,98499008,0,0,1
49043851,1,2,11,1,46556975,95600826,1,0,1
58347496,0,5,16,1,57622904,-724592,1,2,1
41197722,0,0,8,0,89441498,48243776,1,2,0
20247439,0,1,8,0,96725290,76477851,1,1,0
42841370,1,4,10,1,47021711,89863081,0,0,1
10574927,1,3,22,1,46250817,56825744,1,0,1
13026037,1,4,3,1,50926663,63952700,0,0,1
53055573,0,1,7,1,69505108,16449535,1,1,1
42216499,0,1,21,1,78690417,36473918,1,1,1
47454943,1,5,17,0,53640859,101095802,1,2,0
22349312,1,4,15,0,91985760,114335072,0,0,0
58535609,0,5,1,1,34952443,-23583166,1,0,1
31175894,1,3,15,0,83548060,114723954,0,2,0
19847115,1,5,11,0,73170497,93017612,0,1,0
36516062,0,2,4,1,41104100,4588038,1,1,0
55697738,1,4,0,0,87455688,143153426,1,2,0
50168709,1,3,5,1,66094821,116263530,1,0,1
57265289,1,2,14,1,19308722,76574011,1,0,1
53065118,1,4,22,0,31548922,84614040,0,0,1
3045798,1,0,7,1,86547515,89593313,0,2,1
20204511,0,4,18,1,8885459,-11319052,1,2,1
9823990,0,2,3,1,26207268,16383278,1,1,0
32424004,0,2,12,1,49536396,17112392,0,2,0
36669291,0,2,1,1,15161009,-21508282,0,0,0
18725065,1,1,8,0,99880018,118605083,1,0,0
7080377,1,4,0,0,78052898,85133275,1,2,0
38220976,1,2,17,1,54337806,92558782,0,2,1
21262301,1,0,19,1,64518322,85780623,1,0,1
48783039,1,0,10,1,17718990,66502029,0,1,1
8153451,0,0,20,1,27587829,19434378,1,1,1
47991393,1,3,18,0,73251296,121242689,0,0,1
40496016,0,1,5,0,28674222,-11821794,0,1,0
2875010,0,5,13,0,88997782,86122772,0,1,0
23663054,1,2,9,0,85702769,109365823,1,0,1
31268540,1,2,12,1,79467267,110735807,1,2,1
12945665,0,1,15,1,98009851,85064186,0,0,0
45970676,1,1,3,0,67715670,113686346,0,1,0
29315551,1,5,18,0,66879877,96195428,0,1,1
54572615,0,3,14,0,8034600,-46538015,0,1,1
45823998,1,5,2,0,84883166,130707164,0,1,0
47333931,1,3,14,1,19068072,66402003,1,2,1
6339513,0,1,22,0,18389103,12049590,0,0,1
49986146,0,1,21,1,64389875,14403729,1,0,1
46324424,0,2,0,0,1719487,-44604937,0,1,0
3203105,1,1,15,0,87450004,90653109,0,1,0
50565817,0,3,4,0,59351834,8786017,1,1,1
8194760,1,2,3,0,56830124,65024884,0,0,0
24627378,1,5,6,1,70157808,94785186,0,0,1
15211967,1,3,17,1,34854312,50066279,0,2,1
42868976,1,1,9,1,43883918,86752894,0,1,1
47444030,1,1,5,1,81514898,128958928,1,1,1
25415920,1,4,8,1,67101204,92517124,1,0,1
16841984,0,4,18,0,17965726,1123742,0,0,1
52133901,1,5,4,0,11190329,63324230,1,0,0
55884452,1,0,12,0,29094714,84979166,1,1,0
42090341,0,1,21,0,57407799,15317458,0,1,1
36023294,1,3,17,1,25112910,61136204,1,0,1
18319847,0,2,14,0,14152539,-4167308,1,2,0
41054644,1,5,0,1,48412791,89467435,1,2,1
49827068,0,0,9,0,74809369,24982301,0,1,0
29879550,1,4,11,0,86097152,115976702,0,2,0
15871731,0,0,11,1,39981150,24109419,0,2,0
8993850,1,3,4,1,8190812,17184662,0,2,1
36429210,1,0,3,0,12331286,48760496,1,2,0
58911601,0,0,22,1,48662254,-10249347,1,1,1
49445312,0,3,14,1,99817761,50372449,0,2,0
28784902,1,4,16,0,18307208,47092110,0,1,0
13769334,1,1,8,0,19807291,33576625,0,0,0
50015194,1,3,13,0,92864835,142880029,0,2,0
51912859,1,3,4,1,29592252,81505111,1,2,1
34172785,0,3,13,1,39457937,5285152,0,0,0
35855314,1,1,5,0,51091816,86947130,0,2,0
12512849,0,0,13,1,28567752,16054903,1,2,0
19523343,0,2,18,0,92339897,72816554,0,1,1
7452966,1,1,11,0,62341156,69794122,0,2,0
13202292,0,2,1,0,3469889,-9732403,1,0,0
25910376,0,5,13,1,63447996,37537620,0,0,0
3212858,1,4,11,1,98109663,101322521,1,2,1
55895978,0,2,12,0,59043318,3147340,1,2,1
6455776,0,0,23,1,87306122,80850346,0,2,1
30738966,1,2,6,0,50537070,81276036,1,1,0
50472593,1,4,17,0,33106302,83578895,0,0,0
49578509,0,0,21,0,88318024,38739515,1,2,1
6674740,0,5,3,1,34354810,27680070,0,0,0
22978654,0,3,11,1,7908130,-15070524,0,2,0
2595971,1,5,4,0,53551649,56147620,0,2,1
156200,1,3,21,0,42311753,42467953,0,1,1
1201157,0,2,12,1,11869563,10668406,1,1,0
41992623,0,3,9,1,55798697,13806074,0,1,0
31420187,0,4,16,1,2616902,-28803285,0,2,0
29424076,1,4,2,0,88167750,117591826,0,2,0
38574115,1,1,9,0,58313269,96887384,1,2,0
48628978,0,3,22,1,6107030,-42521948,0,1,1
12374263,1,0,11,0,90137454,102511717,0,2,0
39968089,0,3,4,1,46502617,6534528,0,2,0
47411408,0,1,17,0,5655639,-41755769,0,0,0
53782632,1,2,12,0,96352331,150134963,0,0,0
42228145,1,4,0,0,82095759,124323904,0,2,0
33345266,1,1,13,0,57633228,90978494,0,1,0
23978193,0,3,22,1,35610008,11631815,1,1,1
25356125,0,1,19,1,69480398,44124273,1,1,1
13000105,1,1,2,0,72785039,85785144,1,0,0
20597026,0,4,17,0,84233664,63636638,1,1,0
21394740,0,0,12,0,62298966,40904226,1,0,1
2117080,0,3,9,0,1438180,-678900,0,0,0
33358300,0,1,19,0,57879250,24520950,0,0,1
16475124,0,3,7,1,10450996,-6024128,0,2,0
11891472,0,4,20,1,17132487,5241015,0,1,1
23885370,0,3,12,1,40795999,16910629,0,0,0
12808905,0,2,19,0,39287079,26478174,0,1,1
39416544,1,2,12,0,24157782,63574326,0,0,0
30938194,0,5,12,0,21869957,-9068237,1,0,0
21457752,1,3,11,1,12796253,34254005,0,2,1
24744686,1,5,16,1,97615536,122360222,1,2,1
24136525,1,2,12,1,39739492,63876017,1,1,1
52584405,1,2,15,0,77511262,130095667,1,2,0
54436817,0,0,19,1,1994233,-52442584,0,2,1
3799754,1,0,21,0,72808924,76608678,0,1,1
10740985,0,3,4,1,28073955,17332970,0,2,0
1834932,0,2,19,0,47124891,45289959,0,1,1
6456049,0,1,21,1,12047093,5591044,1,2,1
41306171,1,2,12,1,12003865,53310036,0,0,1
43340060,0,3,9,1,54145669,10805609,1,2,0
14883333,0,1,3,0,34956483,20073150,1,1,0
42883896,0,4,4,0,59490973,16607077,0,0,0
37993063,1,3,9,1,63453131,101446194,1,0,1
36557550,0,3,22,0,42784484,6226934,0,0,1
59784839,0,3,9,1,86837601,27052762,0,1,1
3981774,1,5,11,1,97698342,101680116,1,0,1
38431503,0,4,16,1,33337428,-5094075,0,2,0
44406139,0,5,19,1,5567859,-38838280,1,2,1
6457710,0,4,3,0,1711622,-4746088,1,0,0
16527914,0,2,22,1,11549372,-4978542,0,2,1
54332209,0,3,3,0,97209765,42877556,0,2,1
56042389,1,5,5,1,11507921,67550310,0,1,1
31034129,1,4,11,0,92168083,123202212,1,0,0
47335351,0,4,1,1,71660876,24325525,1,2,0
18877281,0,3,11,1,44763318,25886037,0,1,0
40146599,1,1,16,0,67583567,107730166,0,1,0
13541671,1,1,6,0,39903666,53445337,1,0,0
21728964,1,1,12,0,90665518,112394482,1,1,0
16292620,1,2,21,1,71079441,87372061,1,2,1
1421067,0,5,11,0,3895895,2474828,1,1,0
5057888,1,2,9,1,81933875,86991763,0,1,1
10850320,1,2,3,1,73832749,84683069,1,1,1
23384914,1,4,16,1,74987017,98371931,0,0,1
59638334,1,2,17,1,94411834,154050168,1,1,1
16799503,1,3,21,0,44799410,61598913,1,2,1
30982326,0,1,3,1,86352629,55370303,0,2,0
38887907,0,2,10,1,36405730,-2482177,0,2,0
43003233,0,2,19,1,57174084,14170851,1,0,1
15643113,1,4,3,0,55287227,70930340,0,2,0
35069925,1,3,15,0,1924279,36994204,0,2,0
18986043,0,5,1,0,70170225,51184182,1,1,0
20704655,1,3,4,1,70981121,91685776,0,1,1
20960674,0,4,3,1,69697233,48736559,0,2,0
12496943,0,0,12,0,20665829,8168886,1,2,0
48156272,1,5,16,1,46613996,94770268,0,2,1
4298795,0,1,19,0,10069659,5770864,1,2,1
41076462,1,0,5,1,11058776,52135238,1,2,1
28174432,0,0,5,1,75667840,47493408,1,1,0
43389552,1,3,19,1,24546624,67936176,1,2,1
18171901,0,5,23,0,1120728,-17051173,0,0,1
55283780,1,2,8,0,11631882,66915662,1,2,0
12702992,1,1,18,1,11365387,24068379,0,0,1
52660804,1,4,16,0,72073442,124734246,1,0,0
32634392,0,0,1,0,71387723,38753331,1,1,0
20475751,0,4,9,1,31332152,10856401,0,2,0
35961483,1,1,13,1,9036154,44997637,0,2,1
59798071,0,1,16,0,85669510,25871439,1,2,1
25177966,1,1,23,0,85100915,110278881,1,0,1
51199860,0,3,2,0,23031678,-28168182,1,0,1
7307090,1,2,9,1,974000,8281090,0,0,1
49102579,0,0,15,1,63306458,14203879,0,0,0
52385502,0,0,17,0,86883973,34498471,1,0,1
52771645,1,1,17,0,56358247,109129892,1,1,0
56527680,0,4,7,1,6261741,-50265939,0,2,1
51286423,0,3,21,1,44259951,-7026472,0,0,1
14154882,0,4,19,1,10909401,-3245481,1,1,1
19500160,0,1,6,1,54130838,34630678,0,2,0
50778154,0,0,18,1,73951664,23173510,0,1,1
33962897,0,4,18,0,31722994,-2239903,0,2,1
48429567,1,5,6,0,83651257,132080824,0,0,0
15150847,1,3,7,1,3775379,18926226,0,1,1
4207156,1,4,7,1,79438141,83645297,1,1,1
49132164,1,5,21,0,43952233,93084397,0,2,1
56530334,1,3,17,0,33819923,90350257,1,1,0
48199759,0,0,13,1,31376097,-16823662,0,1,0
1680815,0,4,10,0,71563960,69883145,1,1,0
41771638,0,5,15,0,1874519,-39897119,1,2,0
29859649,0,0,0,0,70358630,40498981,0,2,0
6614670,0,1,21,1,29044892,22430222,1,2,1
57853093,1,1,14,1,28423101,86276194,1,0,1
30469031,0,4,15,0,3143738,-27325293,1,1,0
43483894,1,5,18,1,44224993,87708887,1,0,1
19838279,1,5,10,0,1398662,21236941,0,2,0
15883579,0,0,13,0,64113611,48230032,1,0,0
15078284,1,1,0,1,37669368,52747652,1,2,1
43960273,0,0,9,1,29938182,-14022091,0,2,0
8690054,1,1,21,1,53844107,62534161,0,1,1
42205173,1,3,0,1,18313489,60518662,0,0,1
21102811,1,4,19,1,83962185,105064996,0,1,1
20526130,0,5,19,0,91051303,70525173,0,1,1
43775113,1,5,14,1,68148592,111923705,1,0,1
53689253,0,0,16,0,175847,-53513406,0,1,1
13268193,0,1,15,0,96118218,82850025,0,2,0
29405902,1,3,4,0,52179765,81585667,0,2,0
4691613,1,5,1,1,53075315,57766928,1,0,1
16773088,1,1,15,1,74779305,91552393,0,2,1
33554043,0,4,23,0,158263,-33395780,0,2,1
35865115,0,1,13,0,21925418,-13939697,1,1,0
48267533,1,0,9,0,59013577,107281110,0,1,1
2489752,1,2,12,1,37442734,39932486,0,0,0
59211058,0,4,11,0,34932758,-24278300,1,2,1
17302940,1,2,3,1,46007943,63310883,0,2,1
27909212,0,1,4,1,39226373,11317161,1,1,0
44421441,1,2,20,0,23431010,67852451,1,1,1
29706718,1,1,20,1,20004387,49711105,0,2,1
32181120,0,4,21,0,11114197,-21066923,1,2,1
19825729,0,4,8,1,79229053,59403324,1,2,0
6957562,0,2,20,1,78020769,71063207,1,2,1
40101056,0,5,20,1,15961990,-24139066,0,1,1
8307371,1,3,0,0,44003123,52310494,0,2,0
59144676,0,4,18,0,88506134,29361458,0,2,1
52722144,0,0,0,1,54175603,1453459,0,2,1
1411580,1,0,8,0,70888562,72300142,0,1,0
11296230,0,1,17,0,70204823,58908593,0,2,0
31025585,1,3,4,0,45453144,76478729,0,0,0
51671536,0,5,2,0,20599605,-31071931,0,1,1
22171424,0,3,12,1,64856581,42685157,0,0,0
48867234,0,1,13,1,39412743,-9454491,0,2,0
24024953,1,4,0,1,24627303,48652256,1,2,1
52586244,0,0,20,1,46605507,-5980737,0,0,1
58016693,1,0,20,1,25571945,83588638,1,1,1
38244283,1,3,0,1,11890412,50134695,1,1,1
47318649,1,1,12,1,80303693,127622342,1,1,1
34788547,0,2,20,1,27609422,-7179125,0,0,1
26799840,0,4,17,0,10271503,-16528337,0,2,0
9719844,0,3,4,0,15234795,5514951,0,0,0
19765793,1,1,1,0,3584700,23350493,1,2,0
11716557,0,2,15,1,60965473,49248916,1,1,0
52643970,1,5,15,0,31368054,84012024,1,2,0
17526887,1,2,12,1,46872126,64399013,1,2,1
46049040,1,2,13,0,70375644,116424684,1,0,0
21546628,1,5,4,1,20489470,42036098,1,1,1
40577480,0,0,15,0,31176676,-9400804,0,2,0
10584486,0,4,3,1,26768812,16184326,1,1,0
39780960,1,0,12,1,30095157,69876117,0,2,1
20879297,0,1,8,1,64157037,43277740,0,2,0
9813658,1,3,4,0,95060008,104873666,0,2,0
46821781,0,5,8,1,52785530,5963749,1,2,0
28844478,0,5,15,0,4269369,-24575109,1,1,0
57377614,1,0,21,0,12800894,70178508,0,1,1
8515603,1,4,6,1,35717626,44233229,1,0,1
6554009,0,0,2,1,90898363,84344354,1,0,0
28664476,0,3,8,0,15384594,-13279882,1,0,0
47277671,1,5,15,0,28319224,75596895,1,1,0
26516023,1,5,0,0,78843803,105359826,1,2,0
33733210,1,5,21,1,50052865,83786075,0,1,1
56698958,0,2,11,1,70721823,14022865,0,0,1
8373898,0,3,7,0,79440573,71066675,1,1,0
11353847,0,2,17,1,90584084,79230237,0,1,1
20670350,0,4,4,0,75672767,55002417,1,0,0
20273804,0,4,16,0,81987111,61713307,0,1,0
18149840,0,4,16,0,73573764,55423924,1,2,0
24585498,1,4,11,1,35142989,59728487,0,2,1
52682075,0,2,15,0,77627548,24945473,1,2,1
40267439,1,2,6,0,52191646,92459085,0,0,0
8374859,1,0,11,0,74774795,83149654,0,1,0
13644322,1,5,15,0,63207529,76851851,0,1,0
1206230,1,4,1,0,16315077,17521307,1,2,0
51814268,1,4,21,0,45598870,97413138,1,2,1
56738911,0,4,19,1,61214287,4475376,0,2,1
15369768,0,1,20,0,87220097,71850329,1,1,1
39942372,0,2,15,1,92516638,52574266,1,0,0
38124063,0,5,1,1,37833817,-290246,1,0,0
53780315,1,1,10,1,11192827,64973142,0,0,1
11500847,1,3,10,1,19506286,31007133,0,1,1
48938508,0,4,21,0,97036920,48098412,1,0,1
35213397,0,2,1,0,52358426,17145029,0,1,0
17837803,0,2,13,0,72595977,54758174,1,0,0
5738256,0,1,6,0,45587220,39848964,1,0,0
26212068,0,3,22,1,43858370,17646302,0,2,1
48981605,0,4,13,0,76501405,27519800,0,2,0
11746785,1,3,22,0,3072985,14819770,1,1,1
5516556,0,1,3,0,58028626,52512070,1,0,0
33965380,1,0,20,0,50383302,84348682,0,1,1
43314404,1,0,5,0,68664382,111978786,0,0,0
15065824,1,5,16,0,76298818,91364642,0,0,0
7516612,0,3,16,0,75052249,67535637,0,0,0
6057698,0,4,16,0,74058899,68001201,0,0,0
46219682,0,0,4,1,64636119,18416437,1,1,0
57953150,0,3,12,1,93678960,35725810,1,2,1
53768909,1,2,6,1,4959497,58728406,0,2,1
9651903,0,2,15,1,49090800,39438897,0,2,0
27927142,0,4,5,0,95236184,67309042,1,0,0
6159176,0,2,22,0,7686307,1527131,1,2,1
47482691,0,4,19,0,25119805,-22362886,1,2,1
56160470,1,3,16,0,42886398,99046868,0,1,0
957685,1,3,13,0,80445798,81403483,0,2,0
2394005,1,4,23,0,53046958,55440963,0,1,1
35066442,0,4,9,1,90938928,55872486,0,0,0
55955597,1,1,8,0,65623492,121579089,0,1,0
15142409,1,4,23,1,32574421,47716830,0,1,1
34806957,1,1,11,0,16871533,51678490,1,2,0
29196741,1,4,4,0,74827618,104024359,1,2,0
13346528,1,5,10,1,33075155,46421683,0,2,1
9724757,0,5,23,1,9043107,-681650,0,0,1
1948899,1,4,10,1,11657120,13606019,0,0,0
33852404,0,0,5,1,46963029,13110625,0,1,0
20918401,1,1,0,0,56797586,77715987,0,1,0
18595215,1,5,13,0,81328534,99923749,0,2,0
44370295,1,3,13,0,58743813,103114108,1,2,0
1002419,1,3,17,1,1271210,2273629,0,2,0
42022207,0,2,4,0,83162917,41140710,1,1,0
48873334,0,2,1,1,17688435,-31184899,0,1,0
13225610,0,2,2,0,60150079,46924469,0,1,0
48135477,1,3,8,1,98945972,147081449,0,2,1
24178885,1,0,19,1,37673197,61852082,1,0,1
18347996,0,4,3,0,59429285,41081289,1,2,0
4221507,1,3,2,1,26422228,30643735,1,0,1
56505117,0,1,17,0,67925196,11420079,0,1,1
46807815,1,1,4,0,84712409,131520224,1,2,1
34101234,0,2,11,0,4958293,-29142941,0,1,0
33187345,0,1,20,0,12521331,-20666014,1,0,1
21072169,0,2,13,0,5713781,-15358388,0,2,0
20849311,0,1,16,0,34129155,13279844,0,2,0
24432773,1,2,5,0,3022289,27455062,1,0,0
21990916,1,2,12,1,98982891,120973807,0,2,1
43482534,1,4,0,0,83732732,127215266,0,2,1
42250337,0,2,14,1,15859504,-26390833,0,0,0
53243723,0,1,16,1,27985386,-25258337,1,2,1
28224339,0,5,6,0,9224345,-18999994,0,1,0
14549627,0,3,0,1,60762475,46212848,0,0,0
37494111,1,4,23,0,79566105,117060216,0,2,1
34500066,1,4,18,0,71245586,105745652,0,1,1
5317026,1,5,4,0,49084238,54401264,0,1,0
16741632,0,1,14,0,7754775,-8986857,0,0,0
17271572,1,3,19,1,16783279,34054851,1,1,1
41086484,1,4,3,1,5816010,46902494,1,0,1
28591521,1,1,6,0,58933868,87525389,1,1,0
30946484,1,3,8,1,92608872,123555356,1,0,1
13666603,0,5,18,1,1315339,-12351264,1,1,1
55498734,1,3,22,1,61160892,116659626,1,2,1
23127537,0,5,11,0,60704382,37576845,0,0,1
39353712,0,1,21,0,40261765,908053,1,1,1
19940796,0,2,4,0,3545040,-16395756,1,1,0
26618491,0,3,17,1,18451115,-8167376,0,1,0
22923453,0,0,3,0,62258244,39334791,0,0,0
35600367,0,2,18,0,71331141,35730774,1,1,1
15623692,0,0,22,0,56169373,40545681,1,0,1
32705444,1,1,10,0,11798473,44503917,1,2,0
29555249,0,1,19,1,99600755,70045506,1,1,1
11230043,1,1,22,1,97332112,108562155,1,0,1
20454951,0,3,23,0,85193411,64738460,1,0,1
30251059,0,0,13,1,28757282,-1493777,1,2,0
19615602,0,5,20,0,28439322,8823720,0,1,1
2724058,1,1,12,0,38367918,41091976,1,1,0
46690062,0,3,0,1,60104843,13414781,0,2,0
28895571,0,3,4,0,67365332,38469761,1,1,0
46311740,0,0,18,1,7748870,-38562870,1,0,1
28900930,1,5,4,1,98416744,127317674,0,1,1
59602699,1,2,14,1,41303284,100905983,1,1,1
58473452,1,2,12,0,25171758,83645210,1,2,0
5655423,1,0,0,0,18582943,24238366,1,1,0
8926060,0,0,17,1,3258950,-5667110,1,2,0
13066346,1,5,6,0,58695833,71762179,0,2,0
46849702,1,2,5,0,93213396,140063098,1,1,0
53135084,1,0,5,1,55175925,108311009,0,0,1
10024453,0,1,8,1,10234985,210532,1,2,0
30676678,0,0,18,0,4480177,-26196501,0,1,1
23818835,1,3,19,0,10593855,34412690,0,2,1
3627969,1,5,15,1,82403982,86031951,1,2,1
1709873,0,3,18,0,91459778,89749905,0,0,1
609046,1,0,11,1,31711536,32320582,0,1,0
54272237,1,2,11,0,64135062,118407299,0,0,0
37594035,1,3,18,1,85330960,122924995,1,1,1
14544712,0,2,5,0,79766341,65221629,1,0,0
34873563,0,0,4,1,73654938,38781375,0,2,0
31257692,1,3,16,1,2690572,33948264,1,0,1
52907304,1,0,10,0,28654113,81561417,1,2,0
51268779,1,2,5,0,76339578,127608357,0,2,0
41284062,1,4,11,1,21257501,62541563,0,0,1
27089264,0,2,19,1,73337727,46248463,0,2,1
19266699,1,0,7,0,72495734,91762433,1,0,0
31296829,0,2,12,1,82945017,51648188,0,1,0
13682318,0,3,2,0,96178172,82495854,1,0,0
33379329,0,4,23,0,47259036,13879707,0,2,1
23697464,0,4,9,0,35013049,11315585,1,0,0
21236677,1,3,18,1,52617996,73854673,1,0,1
391970,0,2,13,1,87116404,86724434,0,2,0
55840610,1,4,10,0,15891727,71732337,0,2,0
54442614,1,2,9,0,84909388,139352002,1,1,0
46699224,0,0,5,1,87370640,40671416,1,0,0
11875110,1,1,6,1,34662149,46537259,0,0,1
48586370,0,3,7,0,68866874,20280504,1,2,0
23712407,1,0,10,0,98046846,121759253,0,1,0
4603473,1,2,19,0,90015060,94618533,1,1,1
47399930,1,3,10,1,30034415,77434345,0,1,1
40202822,1,3,22,0,90718784,130921606,1,2,1
16094380,1,2,22,0,82174267,98268647,0,2,1
32843437,1,1,15,1,57138316,89981753,0,0,1
25399090,1,3,11,0,69550113,94949203,0,0,1
25029523,1,5,10,1,47084862,72114385,0,0,1
25207041,1,5,12,1,59588753,84795794,1,0,1
59182553,0,5,13,1,42658098,-16524455,1,0,1
18006295,0,5,20,0,64576563,46570268,1,0,1
26330044,1,1,6,1,15668512,41998556,0,2,1
23761770,1,2,11,0,89094016,112855786,0,0,0
7094665,1,1,17,1,4095735,11190400,1,1,1
40992637,1,3,0,0,32291227,73283864,1,1,0
29419585,1,1,8,0,79923883,109343468,1,0,0
37629678,0,2,7,1,41255753,3626075,0,1,0
58307281,1,3,6,1,97347339,155654620,1,0,1
30673871,0,0,9,1,66483148,35809277,0,2,0
43180593,1,1,2,1,59442262,102622855,0,1,1
31695816,1,3,4,0,62822181,94517997,1,1,0
23463469,0,4,21,1,37320531,13857062,1,2,1
39976616,0,5,16,0,60022342,20045726,1,2,0
52256111,0,0,20,0,67930404,15674293,1,0,1
2346246,0,3,7,0,46359929,44013683,0,2,0
40836508,1,4,22,1,63586330,104422838,1,0,1
17544366,0,1,8,1,92248835,74704469,0,0,0
33894425,1,0,14,0,45554168,79448593,0,0,0
25562562,0,5,7,0,36221856,10659294,1,0,0
53861776,0,0,10,0,54380592,518816,0,0,1
49323464,1,3,16,1,77007750,126331214,1,0,1
8343788,0,4,17,1,36777992,28434204,0,0,0
44748264,0,5,22,0,84006385,39258121,0,0,1
10528141,0,3,14,1,11548528,1020387,1,2,0
23372490,1,1,2,0,81358182,104730672,0,2,0
37985128,0,5,20,1,61827834,23842706,1,0,1
1672398,0,5,0,0,71007899,69335501,0,1,0
20338592,0,0,22,1,55822029,35483437,0,1,1
11885432,1,4,12,1,18818864,30704296,0,1,1
55337358,0,1,22,1,40662141,-14675217,1,1,1
47346612,1,1,9,1,29017229,76363841,1,1,1
26954456,0,4,0,0,35444856,8490400,0,2,0
8916515,0,0,12,0,5201620,-3714895,1,1,0
388366,0,4,17,1,1755044,1366678,1,2,0
58675818,0,2,7,0,82916577,24240759,0,2,1
25353396,0,3,18,0,350546,-25002850,0,0,1
45429470,0,0,23,0,6566939,-38862531,0,1,1
49736202,1,5,0,1,50654365,100390567,1,1,1
20228051,1,4,2,0,8589398,28817449,1,2,0
10409155,1,1,0,1,63308363,73717518,0,1,1
28745629,1,0,8,0,46099618,74845247,0,2,0
4256348,1,5,10,0,96310391,100566739,0,1,0
51013783,0,0,14,0,22207454,-28806329,1,1,1
16048473,1,2,16,0,4394821,20443294,1,2,0
33125050,1,2,5,0,8323018,41448068,1,0,0
4242392,0,0,23,1,47993528,43751136,0,1,1
44254247,1,1,1,0,67832669,112086916,1,0,0
12614834,1,2,9,1,77535939,90150773,0,2,1
58785299,0,0,13,0,97026491,38241192,1,2,1
40933630,1,4,3,1,55970802,96904432,1,1,1
799320,0,5,9,0,24732949,23933629,1,0,0
49898920,1,4,18,1,62604199,112503119,0,1,1
51451829,0,4,0,0,64104858,12653029,0,0,1
43823436,1,2,11,0,49957374,93780810,0,0,0
22258984,0,4,1,1,34293810,12034826,0,1,0
2929310,1,2,1,0,49259202,52188512,1,1,0
2515017,1,3,22,1,4052073,6567090,1,2,1
4514861,1,4,19,1,73441060,77955921,0,0,1
23593745,0,0,18,1,68670139,45076394,0,2,1
27269315,0,2,22,0,36425633,9156318,1,0,1
29507723,1,4,3,0,98400751,127908474,1,1,0
17528463,1,2,15,1,29088203,46616666,0,2,1
31066778,1,4,22,1,64789659,95856437,0,2,1
23922515,1,4,14,0,86027784,109950299,0,0,0
58227437,1,3,15,0,92414707,150642144,1,2,0
13625175,1,1,20,1,44038813,57663988,1,1,1
